# 01/06/2025 10:33:18 AM: Prices - EPEX Spot Market Auction - germany_luxembourg - Currency: EUR,__parsed_extra
Delivery day,"Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak"
18/05/2025,"106.73,101.49,98.57,,97.4,98.41,97.98,91.3,87.16,67.86,10.1,0,-0.2,-2,-7.37,-15,-8.97,-0.2,9.67,91.38,108.4,125.17,130.47,118.41,103.62,-15,130.47,101.05,93.71,19.44,-8.34,52.31,119.42,62.93,21.14,100.1,97.38,5.55,104.73,64.11,-2.39,-3.63,112.91,-5.59"
17/05/2025,"93,93.48,88.93,,88.9,89.89,93.46,91.56,89.85,59.11,0.86,-0.06,-4.49,-4.96,-10.02,-11.27,-5.8,-0.8,5.01,78.77,99.64,121.38,130.21,129.9,111.6,-11.27,130.21,91.08,91.19,13.86,-8.01,45.66,123.27,59.51,17.17,91.28,91.13,2.92,101.85,60.35,-4.88,-3.22,111.92,-6.1"
16/05/2025,"94.5,88.47,84.91,,85,88.76,98.26,113.18,117.6,106.66,78.99,11.11,-0.01,-3.15,-1.97,-1.55,-0.01,2.98,69.79,100.05,111.81,154.91,143.23,116.08,102.08,-3.15,154.91,88.22,104.45,49.19,-1.67,71.16,129.08,73.4,39.56,89.98,96.34,23.76,107.25,104.11,1.5,17.8,121.36,0.74"
15/05/2025,"98.06,89.88,87.8,,87.63,90.28,98.94,119.9,119.91,102.06,75.65,4.58,-0.08,-4.97,-14.76,-14.25,-6.62,-0.6,3.83,76.11,108.97,130.74,125.13,110.49,101,-14.76,130.74,90.84,107.26,45.55,-10.15,47.08,116.84,66.24,27.49,92.1,99.05,17.7,104.98,104.38,-3.81,-4.41,108.74,-6.02"
14/05/2025,"102.78,97.3,95.41,,96.96,98.56,103.94,128.58,122.51,99.56,70.92,0.2,-1.67,-18.16,-29.91,-31.82,-12.79,-1.33,30.94,91.6,114,158.45,132.59,109.08,99.86,-31.82,158.45,98.11,113.4,42.25,-23.17,58.8,125,69.07,25.96,99.16,105.76,9.54,112.17,105.39,-12.39,-3.75,117.6,-15.69"
13/05/2025,"89.87,88.55,89.2,,93.94,96.71,104,136.77,128.33,100.42,79.36,16.09,-0.75,-6,-16,-6.55,-3.83,0.55,74,105.23,151.07,223.58,148.96,111.97,102.63,-16,223.58,90.39,116.45,48.78,-8.1,82.71,146.79,79.5,41.13,93.71,103.42,20.34,117.88,111.22,-1.67,16.04,140.57,-2.84"
12/05/2025,"86,81.28,80.95,,81.48,84.65,97.71,137.05,141.15,108.49,69.74,0.49,-3.91,-25,-35,-29.9,-8.59,-0.01,72.58,107.12,141.41,172.7,117.25,100.11,92.97,-35,172.7,82.43,115.14,43.7,-24.62,80.28,120.76,69.61,33.12,85.35,98.78,9.54,106.11,114.11,-15.86,8.52,121.93,-16.99"
11/05/2025,"97.8,95.1,94.51,,95.42,95.39,95.45,87.61,65.76,4.96,-0.1,-12.02,-51.95,-212.82,-250.32,-230.98,-110.06,-18.52,-0.08,85.96,117.11,124.86,109.55,98.45,84.68,-250.32,124.86,95.71,86.05,-14.78,-201.05,46.12,104.39,19.41,-56.57,95.61,90.88,-107.91,95.38,39.56,-131.78,-89.91,103.44,-144.69"
10/05/2025,"105.22,102.91,98.78,,96.28,100.9,100.47,97.73,93.91,73.72,9.02,-0.07,-22.88,-58.48,-114.53,-110.51,-49.52,-5.94,23.99,95.27,124.04,163.2,129.49,107.72,94.49,-114.53,163.2,100.8,98.25,14.95,-83.26,59.34,123.73,52.3,-2.99,100.76,99.53,-34.16,107.59,68.6,-48.99,-35.5,119.04,-59.33"
09/05/2025,"102.27,96.55,93.76,,95.09,100.28,112.4,141,136.03,100.61,82,51.6,0.1,-0.74,-0.04,-0.01,0.09,52.66,79.06,98.9,120,149.13,130.35,107.32,98.32,-0.74,149.13,96.92,122.43,58.58,-0.18,87.66,121.28,81.11,48.69,100.06,109.67,29.2,113.54,114.91,12.73,32.95,117.34,8.5"
08/05/2025,"95.86,91.66,91.51,,93.18,96.09,109.25,124.27,138.73,124.11,101.13,87.81,75.34,64.25,63.75,70.05,78.77,85.3,91.63,109.09,134.96,185.08,143.18,114.77,106.48,63.75,185.08,93.05,117.09,97.1,69.21,105.25,137.38,103.18,90.52,96.26,105.07,83.15,115.84,122.06,72.79,81.44,132.26,73.33"
07/05/2025,"92.67,87.05,85.63,,88.6,95.16,108.57,131.68,143.95,125,96.43,82.41,73.3,64.43,63.92,68.04,75,81.8,95.85,108.49,128.93,147.15,125.18,108.49,96.59,63.92,147.15,88.49,119.84,94.29,67.85,103.77,119.35,98.93,88.63,92.95,104.16,81.07,109.23,124.27,71.02,80.17,119.14,71.18"
06/05/2025,"87.22,81.68,81.29,,79.96,82.39,97.08,114.57,121.86,108.37,83.08,72.27,59.89,42.81,38.17,45.44,65,73.73,89.99,106.89,134.09,161.18,136.6,118.28,101.27,38.17,161.18,82.54,103.98,80.9,47.86,101.18,129.33,90.96,76.64,84.94,93.26,64.38,105.28,106.97,53.29,68.54,126.39,53.93"
05/05/2025,"75.18,70.51,72.25,,75.15,74.98,89.49,110.92,122.57,106.69,90.82,80,61.65,53.83,49.66,59.3,70.42,78.88,89.22,100.1,128.92,128,113.17,101.52,94.46,49.66,128.92,73.27,99.49,84.79,58.3,99.28,109.29,87.4,80.79,76.26,86.38,71.55,94.02,107.75,61.29,74.46,111.03,62.48"
04/05/2025,"60.3,44.9,31.47,,20.39,20.02,15.58,13.62,7.83,2.93,0,-0.01,-0.01,-0.02,-2,-5.01,-1.59,-0.01,10.07,80.08,95.95,109,112.38,101.79,87.35,-5.01,112.38,39.27,14.26,0.73,-2.16,46.52,102.63,33.54,15.03,32.11,26.76,-0.71,52.05,6.1,-0.51,0.87,97.76,-1.44"
03/05/2025,"97.81,93.34,92.2,,92,91.23,91.84,92.86,87.73,79.9,13.53,0.01,-0.01,-1.16,-3.04,-2.69,-0.03,0,28.87,68.11,77.54,90.27,87.02,78.63,65.91,-3.04,97.81,93.84,90.92,23.36,-1.73,43.63,80.46,55.08,21.75,93.07,92.38,10.81,88.4,68.51,-1.05,6.54,77.91,-1.15"
02/05/2025,"89.92,77.12,66.9,,63.91,66,74.01,86.83,88.55,84.9,55,0.85,-0.01,-0.8,-3,-4,-0.08,0.3,67.5,99.9,118.39,150.4,121.24,106.72,96.44,-4,150.4,74.46,78.85,35.19,-1.97,71.52,118.7,62.79,34.91,72.98,76.66,16.61,90.67,78.82,-0.74,15.93,115.52,-1.17"
01/05/2025,"97.51,91.78,90.46,,90.63,90.5,84.16,83.94,78.04,62.1,0,-3,-40.1,-85.01,-129.99,-118.11,-49.99,-5.17,40.77,96.14,129.87,164.38,122.45,100.73,87.1,-129.99,164.38,92.6,84.16,4.75,-95.78,65.4,118.67,44.97,-8.54,90.84,88.38,-45.51,98.47,56.02,-64.53,-33.13,116.78,-71.03"
30/04/2025,"95,90,87.59,,88.25,91.4,95.83,115.27,120.3,99.9,76.7,7.08,0,-1,-6.21,-3,-0.02,19.91,78.39,101.8,130.37,176.43,128,108.33,98.68,-6.21,176.43,90.21,105.7,45.92,-2.56,82.62,127.86,74.96,41.99,91.35,97.96,21.68,107.92,103.04,-0.03,23.82,123.94,-0.53"
29/04/2025,"90.64,86.86,81.76,,79.17,80.03,90.57,107,113.13,99.98,78,9.31,0,-0.76,-1.9,-1.67,-0.01,14.82,77.6,102,139.83,174.75,129.11,108.83,97.82,-1.9,174.75,84.61,97.68,46.82,-1.09,83.56,127.63,73.2,43.1,84.84,91.15,22.87,103.31,99.53,1.66,22.69,125.39,0.83"
28/04/2025,"92.24,86.49,83.1,,85.41,91.19,99.49,140,131.09,96.85,67.37,10.03,-0.01,-4.02,-5.9,-6.18,-1.54,2.01,71.83,101.92,149.9,194.81,128.83,106.24,96.83,-6.18,194.81,86.81,115.44,43.56,-4.41,81.42,131.68,75.75,40.19,89.65,101.13,19.58,111.31,108.83,0.03,16.53,129.76,-1.27"
27/04/2025,"67.71,62.91,57.96,,59.12,61.94,69.05,69.14,63.72,34.95,0.04,-3,-33.88,-101.04,-129.81,-116.61,-50,-5.17,18.35,91.98,110.83,124.23,109.24,99,93.77,-129.81,124.23,61.93,65.96,-0.47,-99.37,54,106.56,31.43,-15.28,63.12,63.94,-49.92,78.15,41.96,-66.93,-38.36,104.84,-72.39"
26/04/2025,"100,92.19,91.02,,89.66,89.01,90.86,93.01,86.33,72.19,34.45,2.55,-0.01,-7.63,-14.85,-10.77,-2.19,-0.02,30.99,79,99.81,107.4,96.85,85.26,72.31,-14.85,107.4,93.22,89.8,27.3,-8.86,52.45,90.46,57.39,23.63,92.12,91.51,9.22,91.16,71.5,-4.99,4.5,90.11,-5.48"
25/04/2025,"91.03,82.92,82.23,,83.4,84.95,94.64,104.41,113.39,111,99.41,88.17,75.45,66.61,48.03,40.99,59.47,73.04,84.19,99.43,115.99,123.78,109.63,100.37,92.09,40.99,123.78,84.9,99.35,93.51,53.78,93.16,106.47,88.53,80.15,86.53,92.12,73.64,96.9,107.05,69.57,64.42,106.88,63.12"
24/04/2025,"94.17,88.3,86.7,,85.65,84.35,90.93,110.34,118.51,117.65,108.91,96.67,93.55,81.56,78.95,78.04,78.72,83.37,95.36,101.02,114.64,121.61,114.48,106.53,93.1,78.04,121.61,88.71,101.03,104.2,79.32,98.6,108.93,96.8,94.04,88.35,94.87,91.76,99.56,113.85,87.68,83.87,108.56,84.58"
23/04/2025,"106.72,99.4,96.84,,96.7,101.2,108.23,137.09,152,128.84,100,92,94.39,81.04,80.29,88,92.35,99.05,108.28,128.9,155.97,148.67,126.11,108.2,97.15,80.29,155.97,99.92,124.63,103.81,85.42,123.05,120.03,109.48,104.09,101.52,112.27,94.61,114.86,129.48,86.93,96.92,127.5,88.01"
